sensor,a,b,intercept,treatment,timestamp
GM102B_mean,25.506952,-9.693458,-278.837791,min_monitor_20250403_164631,1743673591.0078657
GM302B_mean,30.036034,-11.414683,-181.880452,min_monitor_20250403_164631,1743673591.0078657
GM502B_mean,36.458933,-15.162671,-229.823783,min_monitor_20250403_164631,1743673591.0078657
GM702B_mean,12.288931,-0.748809,30.829211,min_monitor_20250403_164631,1743673591.0078657
GM102B_mean,26.228644,-9.803445,-298.521672,min_monitor_20250403_165631,1743674191.5076864
GM302B_mean,31.024198,-11.565280,-208.832250,min_monitor_20250403_165631,1743674191.5076864
GM502B_mean,37.710344,-15.353388,-263.955550,min_monitor_20250403_165631,1743674191.5076864
GM702B_mean,12.041170,-0.711050,37.586790,min_monitor_20250403_165631,1743674191.5076864
GM102B_mean,27.220547,-10.119489,-318.354741,min_monitor_20250403_170325,1743674605.9690711
GM302B_mean,32.309557,-11.974826,-234.532960,min_monitor_20250403_170325,1743674605.9690711
GM502B_mean,39.325276,-15.867944,-296.246072,min_monitor_20250403_170325,1743674605.9690711
GM702B_mean,11.780354,-0.627948,42.801799,min_monitor_20250403_170325,1743674605.9690711
GM102B_mean,27.971017,-10.317048,-335.195456,min_monitor_20250403_171326,1743675206.496778
GM302B_mean,33.349971,-12.248712,-257.880107,min_monitor_20250403_171326,1743675206.496778
GM502B_mean,40.626145,-16.210394,-325.437863,min_monitor_20250403_171326,1743675206.496778
GM702B_mean,11.520315,-0.559493,48.637145,min_monitor_20250403_171326,1743675206.496778
GM102B_mean,28.678400,-10.511051,-350.718335,min_monitor_20250403_172326,1743675806.951162
GM302B_mean,34.336864,-12.519372,-279.536564,min_monitor_20250403_172326,1743675806.951162
GM502B_mean,41.866883,-16.550671,-352.664728,min_monitor_20250403_172326,1743675806.951162
GM702B_mean,11.237389,-0.481900,54.845681,min_monitor_20250403_172326,1743675806.951162
GM102B_mean,29.349620,-10.695383,-365.427815,min_monitor_20250403_173327,1743676407.4675963
GM302B_mean,35.269776,-12.775571,-299.980927,min_monitor_20250403_173327,1743676407.4675963
GM502B_mean,43.038469,-16.872415,-378.339513,min_monitor_20250403_173327,1743676407.4675963
GM702B_mean,10.952480,-0.403657,61.089350,min_monitor_20250403_173327,1743676407.4675963
GM102B_mean,29.951146,-10.832806,-379.810901,min_monitor_20250403_174328,1743677008.1163683
GM302B_mean,36.093406,-12.963735,-319.674721,min_monitor_20250403_174328,1743677008.1163683
GM502B_mean,44.076933,-17.109661,-403.170222,min_monitor_20250403_174328,1743677008.1163683
GM702B_mean,10.693740,-0.344546,67.276086,min_monitor_20250403_174328,1743677008.1163683
GM102B_mean,30.494717,-10.933616,-393.811258,min_monitor_20250403_175328,1743677608.833343
GM302B_mean,36.840518,-13.102293,-338.917543,min_monitor_20250403_175328,1743677608.833343
GM502B_mean,45.019557,-17.284478,-427.448698,min_monitor_20250403_175328,1743677608.833343
GM702B_mean,10.446052,-0.298610,73.655592,min_monitor_20250403_175328,1743677608.833343
GM102B_mean,21.388148,-5.443582,-326.041655,min_monitor_20250403_180515,1743678315.1360617
GM302B_mean,21.831752,-4.054029,-227.224739,min_monitor_20250403_180515,1743678315.1360617
GM502B_mean,26.815273,-6.309746,-291.975368,min_monitor_20250403_180515,1743678315.1360617
GM702B_mean,6.826557,1.883458,100.591288,min_monitor_20250403_180515,1743678315.1360617
GM102B_mean,20.498639,-4.910680,-319.280626,min_monitor_20250403_181516,1743678916.1822565
GM302B_mean,20.886167,-3.487533,-220.037489,min_monitor_20250403_181516,1743678916.1822565
GM502B_mean,25.413155,-5.469743,-281.318083,min_monitor_20250403_181516,1743678916.1822565
GM702B_mean,6.800537,1.899046,100.789057,min_monitor_20250403_181516,1743678916.1822565
GM102B_mean,21.231091,-5.300925,-327.070735,min_monitor_20250403_182516,1743679516.9171104
GM302B_mean,21.903238,-4.029420,-230.854701,min_monitor_20250403_182516,1743679516.9171104
GM502B_mean,26.557899,-6.079654,-293.493178,min_monitor_20250403_182516,1743679516.9171104
GM702B_mean,6.844402,1.875676,100.322533,min_monitor_20250403_182516,1743679516.9171104
GM102B_mean,21.723541,-5.597462,-331.119607,min_monitor_20250403_183517,1743680117.5278697
GM302B_mean,22.536566,-4.410791,-236.061869,min_monitor_20250403_183517,1743680117.5278697
GM502B_mean,27.299632,-6.526302,-299.591633,min_monitor_20250403_183517,1743680117.5278697
GM702B_mean,6.842620,1.876748,100.337179,min_monitor_20250403_183517,1743680117.5278697
GM102B_mean,22.095163,-5.924677,-329.969460,min_monitor_20250403_184518,1743680718.4500556
GM302B_mean,22.982041,-4.803032,-234.683156,min_monitor_20250403_184518,1743680718.4500556
GM502B_mean,27.827539,-6.991126,-297.957796,min_monitor_20250403_184518,1743680718.4500556
GM702B_mean,6.839707,1.879313,100.328163,min_monitor_20250403_184518,1743680718.4500556
GM102B_mean,22.395356,-6.299447,-324.460024,min_monitor_20250403_185519,1743681319.211459
GM302B_mean,23.333974,-5.242396,-228.224131,min_monitor_20250403_185519,1743681319.211459
GM502B_mean,28.247221,-7.515069,-290.255383,min_monitor_20250403_185519,1743681319.211459
GM702B_mean,6.832739,1.888013,100.200274,min_monitor_20250403_185519,1743681319.211459
GM102B_mean,22.656616,-6.728820,-315.204060,min_monitor_20250403_190519,1743681919.9328918
GM302B_mean,23.663558,-5.784059,-216.547553,min_monitor_20250403_190519,1743681919.9328918
GM502B_mean,28.622098,-8.131169,-276.974159,min_monitor_20250403_190519,1743681919.9328918
GM702B_mean,6.835284,1.883830,100.290449,min_monitor_20250403_190519,1743681919.9328918
GM102B_mean,22.865729,-7.120340,-305.799871,min_monitor_20250403_191520,1743682520.8247194
GM302B_mean,23.917882,-6.260228,-205.110124,min_monitor_20250403_191520,1743682520.8247194
GM502B_mean,28.913789,-8.677301,-263.856239,min_monitor_20250403_191520,1743682520.8247194
GM702B_mean,6.838324,1.878138,100.427158,min_monitor_20250403_191520,1743682520.8247194
GM102B_mean,23.026902,-7.427809,-298.285908,min_monitor_20250403_192521,1743683121.729138
GM302B_mean,24.118041,-6.642067,-195.778674,min_monitor_20250403_192521,1743683121.729138
GM502B_mean,29.140257,-9.109329,-253.298265,min_monitor_20250403_192521,1743683121.729138
GM702B_mean,6.831802,1.890580,100.123097,min_monitor_20250403_192521,1743683121.729138
GM102B_mean,23.148187,-7.676966,-291.881975,min_monitor_20250403_193522,1743683722.783922
GM302B_mean,24.267642,-6.949394,-187.879626,min_monitor_20250403_193522,1743683722.783922
GM502B_mean,29.307438,-9.452772,-244.470964,min_monitor_20250403_193522,1743683722.783922
GM702B_mean,6.818518,1.917868,99.421729,min_monitor_20250403_193522,1743683722.783922
GM102B_mean,23.248147,-7.915765,-285.211190,min_monitor_20250403_194524,1743684324.437986
GM302B_mean,24.387520,-7.235776,-179.879662,min_monitor_20250403_194524,1743684324.437986
GM502B_mean,29.441000,-9.771844,-235.557791,min_monitor_20250403_194524,1743684324.437986
GM702B_mean,6.811916,1.933641,98.981126,min_monitor_20250403_194524,1743684324.437986
GM102B_mean,23.325048,-8.129721,-278.819276,min_monitor_20250403_195526,1743684926.2112167
GM302B_mean,24.480932,-7.495668,-172.115392,min_monitor_20250403_195526,1743684926.2112167
GM502B_mean,29.544990,-10.061167,-226.914301,min_monitor_20250403_195526,1743684926.2112167
GM702B_mean,6.807419,1.946153,98.607318,min_monitor_20250403_195526,1743684926.2112167
GM102B_mean,23.386984,-8.285965,-274.327074,min_monitor_20250403_200529,1743685529.1946712
GM302B_mean,24.558098,-7.690336,-166.518448,min_monitor_20250403_200529,1743685529.1946712
GM502B_mean,29.628252,-10.271213,-220.875220,min_monitor_20250403_200529,1743685529.1946712
GM702B_mean,6.805580,1.950793,98.473934,min_monitor_20250403_200529,1743685529.1946712
GM102B_mean,23.437008,-8.423219,-270.234583,min_monitor_20250403_201532,1743686132.0924551
GM302B_mean,24.620402,-7.861281,-161.421388,min_monitor_20250403_201532,1743686132.0924551
GM502B_mean,29.694885,-10.454035,-215.424033,min_monitor_20250403_201532,1743686132.0924551
GM702B_mean,6.805300,1.951559,98.451084,min_monitor_20250403_201532,1743686132.0924551
GM102B_mean,23.478126,-8.538778,-266.752567,min_monitor_20250403_202534,1743686734.4314983
GM302B_mean,24.673171,-8.009582,-156.952787,min_monitor_20250403_202534,1743686734.4314983
GM502B_mean,29.750238,-10.609598,-210.736590,min_monitor_20250403_202534,1743686734.4314983
GM702B_mean,6.807796,1.944546,98.662398,min_monitor_20250403_202534,1743686734.4314983
GM102B_mean,23.506004,-8.616364,-264.419142,min_monitor_20250403_203537,1743687337.117663
GM302B_mean,24.713002,-8.120435,-153.618847,min_monitor_20250403_203537,1743687337.117663
GM502B_mean,29.790112,-10.720572,-207.399030,min_monitor_20250403_203537,1743687337.117663
GM702B_mean,6.812031,1.932759,99.016897,min_monitor_20250403_203537,1743687337.117663
GM102B_mean,23.517981,-8.671914,-262.483065,min_monitor_20250403_204539,1743687939.4927766
GM302B_mean,24.735367,-8.224170,-150.003383,min_monitor_20250403_204539,1743687939.4927766
GM502B_mean,29.810816,-10.816599,-204.052214,min_monitor_20250403_204539,1743687939.4927766
GM702B_mean,6.815865,1.914976,99.636691,min_monitor_20250403_204539,1743687939.4927766
GM102B_mean,23.509994,-8.643411,-263.419906,min_monitor_20250403_205543,1743688543.9791768
GM302B_mean,24.740022,-8.240781,-149.457405,min_monitor_20250403_205543,1743688543.9791768
GM502B_mean,29.806843,-10.802419,-204.518270,min_monitor_20250403_205543,1743688543.9791768
GM702B_mean,6.818941,1.904001,99.997430,min_monitor_20250403_205543,1743688543.9791768
GM102B_mean,23.485188,-8.557982,-266.207580,min_monitor_20250403_210548,1743689148.6605854
GM302B_mean,24.726503,-8.194225,-150.976585,min_monitor_20250403_210548,1743689148.6605854
GM502B_mean,29.780895,-10.713059,-207.434211,min_monitor_20250403_210548,1743689148.6605854
GM702B_mean,6.821943,1.893661,100.334826,min_monitor_20250403_210548,1743689148.6605854
GM102B_mean,23.474430,-8.501691,-268.226939,min_monitor_20250403_211552,1743689752.044273
GM302B_mean,24.722478,-8.173162,-151.732182,min_monitor_20250403_211552,1743689752.044273
GM502B_mean,29.770218,-10.657192,-209.438372,min_monitor_20250403_211552,1743689752.044273
GM702B_mean,6.824277,1.881446,100.773017,min_monitor_20250403_211552,1743689752.044273
GM102B_mean,23.465615,-8.460977,-269.653825,min_monitor_20250403_212556,1743690356.4445548
GM302B_mean,24.718303,-8.153882,-152.407911,min_monitor_20250403_212556,1743690356.4445548
GM502B_mean,29.760539,-10.612492,-211.004952,min_monitor_20250403_212556,1743690356.4445548
GM702B_mean,6.825039,1.877930,100.896258,min_monitor_20250403_212556,1743690356.4445548
GM102B_mean,23.463919,-8.444810,-270.278927,min_monitor_20250403_213600,1743690960.3657825
GM302B_mean,24.719034,-8.160855,-152.138288,min_monitor_20250403_213600,1743690960.3657825
GM502B_mean,29.759645,-10.603961,-211.334818,min_monitor_20250403_213600,1743690960.3657825
GM702B_mean,6.825019,1.878116,100.889066,min_monitor_20250403_213600,1743690960.3657825
GM102B_mean,23.462975,-8.433561,-270.721445,min_monitor_20250403_214603,1743691563.3495529
GM302B_mean,24.719642,-8.168091,-151.853599,min_monitor_20250403_214603,1743691563.3495529
GM502B_mean,29.759294,-10.599782,-211.499201,min_monitor_20250403_214603,1743691563.3495529
GM702B_mean,6.824400,1.885491,100.598930,min_monitor_20250403_214603,1743691563.3495529
GM102B_mean,23.460936,-8.415490,-271.416068,min_monitor_20250403_215606,1743692166.4759605
GM302B_mean,24.719508,-8.166903,-151.899274,min_monitor_20250403_215606,1743692166.4759605
GM502B_mean,29.757859,-10.587064,-211.988049,min_monitor_20250403_215606,1743692166.4759605
GM702B_mean,6.823282,1.895398,100.218137,min_monitor_20250403_215606,1743692166.4759605
GM102B_mean,23.457529,-8.399606,-271.973999,min_monitor_20250403_220611,1743692771.5277474
GM302B_mean,24.718128,-8.160470,-152.125223,min_monitor_20250403_220611,1743692771.5277474
GM502B_mean,29.753900,-10.568607,-212.636356,min_monitor_20250403_220611,1743692771.5277474
GM702B_mean,6.820839,1.906785,99.818149,min_monitor_20250403_220611,1743692771.5277474
GM102B_mean,23.459647,-8.417122,-271.307408,min_monitor_20250403_221615,1743693375.2384346
GM302B_mean,24.721182,-8.185719,-151.164370,min_monitor_20250403_221615,1743693375.2384346
GM502B_mean,29.756634,-10.591218,-211.775873,min_monitor_20250403_221615,1743693375.2384346
GM702B_mean,6.819746,1.915823,99.474191,min_monitor_20250403_221615,1743693375.2384346
GM102B_mean,23.462567,-8.444835,-270.240660,min_monitor_20250403_222618,1743693978.749254
GM302B_mean,24.724758,-8.219660,-149.857905,min_monitor_20250403_222618,1743693978.749254
GM502B_mean,29.760573,-10.628597,-210.337088,min_monitor_20250403_222618,1743693978.749254
GM702B_mean,6.818956,1.923327,99.185341,min_monitor_20250403_222618,1743693978.749254
GM102B_mean,23.460995,-8.468164,-269.214901,min_monitor_20250403_223621,1743694581.5269637
GM302B_mean,24.721182,-8.272726,-147.524582,min_monitor_20250403_223621,1743694581.5269637
GM502B_mean,29.756328,-10.691582,-207.567603,min_monitor_20250403_223621,1743694581.5269637
GM702B_mean,6.819225,1.927329,99.009371,min_monitor_20250403_223621,1743694581.5269637
GM102B_mean,23.464316,-8.509805,-267.582314,min_monitor_20250403_224625,1743695185.2667007
GM302B_mean,24.724916,-8.319537,-145.689322,min_monitor_20250403_224625,1743695185.2667007
GM502B_mean,29.760694,-10.746313,-205.421821,min_monitor_20250403_224625,1743695185.2667007
GM702B_mean,6.818985,1.930345,98.891127,min_monitor_20250403_224625,1743695185.2667007
GM102B_mean,23.463143,-8.560188,-265.443587,min_monitor_20250403_225628,1743695788.2300568
